number,street,unit,census_status,street_residential_signal
546,LITTLE BROOK WAY,,No_Match,30/31
2781,GROSSE POINT,,Match,0/0
5675,BAIRSFORD CIR N,8,Match,0/0
328,CHANTRY DR,,No_Match,0/16
370,CHANTRY DR,,No_Match,0/16
5917,SHANA DR,,Match,0/1
2509,SHORE BLVD E,,Match,0/0
5475,CHATFORD SQ,,Match,0/1
3237,WEBSTER DR,,Match,0/0
4557,LAKE SIDE S,A,Match,0/0
4200,S HAMILTON RD,,No_Match,242/753
3328,WINTER LANE PARK,,Match,0/0
5415,YORKSHIRE TERRACE DR,8C,Match,0/0
1780,CHANNINGWAY CT W,,Match,0/0
2288,MUIRWOOD DR,,Match,0/1
5522,DUNFIELD LN,1,Match,0/1
452,LITTLE BROOK WAY,,No_Match,30/31
5473,CHATFORD SQ,,Match,0/1
2453,KIMBERLY PKWY N,,Tie,0/0
336,CHANTRY DR,,No_Match,0/16
3720,KIMBERLY WEST DR,,Tie,0/0
2370,CANAL BAY WAY,,Match,0/1
2472,HUDSON BAY WAY,,Match,0/0
2025,LAKE CLUB TER,,Match,0/0
2178,RIVERDALE SQ E,,Match,0/0
2231,COURTSIDE DR,I,Match,0/2
2510,KIMBERLY PKWY E,304,Match,0/0
6058,CHANNINGWAY BLVD,,Match,0/0
5415,YORKSHIRE TERRACE DR,7C,Match,0/0
2626,BIRCHTREE CT,,Match,0/0
3469,COURTRIGHT LN,,Match,0/0
4505,LAKE SIDE S,D,Match,0/0
1938,OLDE COVENTRY RD E,,Match,0/0
5445,CHATFORD SQ,,Match,0/1
5609,CHANTRY DR,,Match,0/16
1781,BAIRSFORD CIR W,,Match,0/0
5617,HIBERNIA DR,A,Match,0/1
1791,CHANNINGWAY CT E,,Match,0/0
4640,CHANNING TER,,Match,0/0
5842,HALLRIDGE CIR,,Match,0/0
2912,MERRYMOUNT CT,B,Match,0/0
2454,SHORE BLVD W,,Match,0/0
2050,PINE NEEDLE CT,,Match,0/0
292,CHANTRY DR,,No_Match,0/16
4800,LARAINE CT,101,Match,0/0
5393,YORKSHIRE TERRACE DR,4C,Match,0/0
2574,S HAMILTON RD,,Match,242/753
2604,SILVER OAK DR,,Match,0/1
2881,SHILLING DR,,Match,0/0
5398,YORKSHIRE TERRACE DR,C,Match,0/0
2500,PARK CRESCENT,,Match,0/0
4657,REFUGEE RD,3F,Match,119/267
5711,HIBERNIA DR,C,Match,0/1
2776,CITIZENS PL,F,Match,0/1
5097,CEDAR DR,C,Match,15/24
2290,PETZINGER CT,,Match,0/0
4575,LAKE SIDE S,B,Match,0/0
4524,LAKE SIDE N,,Match,0/0
2830,WYMAN CT,B,Match,0/0
2205,FOXCROFT GREEN,,Match,0/0
2410,PARK CRESCENT,,Match,0/0
2163,RIVERDALE SQ E,,Match,0/0
5547,CHANTRY DR,,Match,0/16
4622,HEBRIDES DR,D,Match,0/0
1476,ABRAHAM WOODS,,Match,0/0
3726,KNIGHTSWAY LN,,Match,0/2
4985,OLDE COVENTRY RD W,,Match,0/0
1931,OLDE COVENTRY RD,,Match,0/0
3481,COURTRIGHT LN,,Match,0/0
2870,MERRYMOUNT CT,A,Match,0/0
4621,REFUGEE RD,3A,Match,119/267
4096,PORSCHE CT,,Match,0/1
3361,SUFFIELD,,Match,0/0
3926,LAUREL LN,,Match,2/2
1807,CHANNINGWAY CT E,,Match,0/0
3714,SOFT WIND DR,,Match,0/0
5739,HIBERNIA DR,,Match,0/1
2599,KIMBERLY PKWY W,,Match,0/0
1540,CABORA LN,,Match,0/0
1812,CHANNINGWAY CT W,,Match,0/0
6064,CHANNINGWAY BLVD,,Match,0/0
2782,BERWICK SQ,,Match,0/1
3907,RIVERCREEK BAY WAY,,Match,0/0
3312,TRADAN DR,,Match,0/1
3758,SOFT WIND DR,,Match,0/0
2870,WOOLWICH CT,108,Match,0/0
4669,REFUGEE RD,3G,Match,119/267
2510,KIMBERLY PKWY E,302,Match,0/0
4657,REFUGEE RD,1F,Match,119/267
6347,MCNAUGHTEN CT,,No_Match,0/1
4595,REFUGEE RD,1C,Match,119/267
4630,HILTON CORPORATE DR,201,Match,0/3
3745,BIRCHTREE LN,,Match,0/0
5975,E LIVINGSTON AVE,,Match,406/920
2886,TENNYSON BLVD,C,Match,0/0
2828,CITIZENS PL,F,Match,0/1
84,CHANTRY DR,,No_Match,0/16
4615,REFUGEE RD,1B,Match,119/267
3732,BONNETT CT,,Match,0/0
2324,CONDON DR,,Match,10/26
2286,SEVILLE AVE,,Match,0/1
3473,COURTRIGHT LN,A,Match,0/0
5504,CHATFORD SQ,,Match,0/1
2731,EASTLAND MALL,,Match,0/1
2802,CITIZENS PL,F,Match,0/1
1784,CHANNINGWAY CT W,,Match,0/0
2794,TENNYSON BLVD,C,Match,0/0
2089,LAKE CLUB TER,C,Match,0/0
2507,EASTERN PINE RD,,Match,0/0
4974,OLDE COVENTRY RD W,,Match,0/0
5453,LONSDALE PL S,UNIT D,Match,0/0
2755,TENNYSON BLVD,A,Match,0/0
4792,LARAINE CT,103,Match,0/0
5083,CEDAR DR,G,Match,15/24
5119,CEDAR DR,A,Match,15/24
3240,ELIM MANOR CT,,Match,0/1
440,CHANTRY DR,,No_Match,0/16
6001,LAKE CLUB CT,H,Match,0/1
2205,COURTSIDE DR,H,Match,0/2
2865,CITIZENS PL,C,Match,0/1
2510,KIMBERLY PKWY E,301,Match,0/0
12,CHANTRY DR,,No_Match,0/16
2817,WYMAN CT,D,Match,0/0
4615,REFUGEE RD,1C,Match,119/267
4593,REFUGEE RD,3J,Match,119/267
5696,SPRUCE TREE DR,,Match,0/0
256,LITTLE BROOK WAY,,No_Match,30/31
2624,BIRCHTREE WAY,,Match,0/0
5665,E LIVINGSTON AVE,,Match,406/920
5690,MAPLE TREE LN,,No_Match,0/0
2449,HUDSON BAY WAY,,Match,0/0
4774,LARAINE CT,202,Match,0/0
3387,WINTER LANE PARK,,Match,0/0
6127,MCNAUGHTEN CT,,Match,0/1
2391,MALKA CT,,Match,0/0
3809,KIMBERLY PKWY N,,Match,0/0
5776,HALLRIDGE CIR,,Match,0/0
2272,PETZINGER CT,,Match,0/0
4622,HEBRIDES DR,B,Match,0/0
2130,PINE GROVE LN,,Match,0/1
692,LITTLE BROOK WAY,,No_Match,30/31
4609,REFUGEE RD,2K,Match,119/267
2820,BANWICK RD,,Match,0/9
2787,BERWICK SQ,,Match,0/1
3730,NOAM CT,,Match,0/0
2764,S HAMILTON RD,,Match,242/753
4581,LAKE SIDE S,,Match,0/0
2544,SCARBOROUGH SQ,13,Match,0/0
2791,CITIZENS PL,D,Match,0/1
6173,MCNAUGHTEN CT,,Match,0/1
4624,CHANNING TER,B,Match,0/0
5487,RED BIRD CT,,Match,0/1
5415,YORKSHIRE TERRACE DR,,Match,0/0
2236,S HAMILTON RD,200,Match,242/753
4649,GROVES RD,,Match,4/54
4475,REFUGEE RD,,Match,119/267
2943,TENNYSON BLVD,A,Match,0/0
2799,GROSSE POINT,,Match,0/0
6027,LAKE CLUB CT,,Match,0/1
5505,CHATFORD SQ,,Match,0/1
5427,YORKSHIRE TERRACE DR,5A,Match,0/0
6431,MCNAUGHTEN CT,,No_Match,0/1
350,CHANTRY DR,,No_Match,0/16
3331,SUFFIELD,,Match,0/0
5460,CHATFORD SQ,,Match,0/1
5762,HIBERNIA DR,,Match,0/1
3840,KIMBERLY PKWY N,,Match,0/0
5191,REFUGEE RD,,Match,119/267
5747,SPRUCE TREE DR,,Match,0/0
2843,CITIZENS PL,D,Match,0/1
2849,CITIZENS PL,H,Match,0/1
3224,WINTER LANE PARK,,Match,0/0
4619,REFUGEE RD,1H,Match,119/267
4659,REFUGEE RD,2E,Match,119/267
5777,E LIVINGSTON AVE,,Match,406/920
2037,LAKE CLUB TER,,Match,0/0
3725,KIMBERLY WEST DR,UNIT 5,Tie,0/0
4951,MYERS RD,,Match,0/8
6237,MCNAUGHTEN CT,,Match,0/1
6099,MCNAUGHTEN CENTER,,Match,0/0
5479,CHATFORD SQ,,Match,0/1
3128,S HAMILTON RD,,Match,242/753
4640,HEBRIDES DR,D,Match,0/0
3784,RIVERCREEK BAY WAY,,Match,0/0
5357,YORKSHIRE TERRACE DR,A,Match,0/0
1790,CHANNINGWAY CT W,,Match,0/0
1801,CHANNINGWAY CT W,,Match,0/0
2380,MALKA CT,,Match,0/0
2456,SHORE BLVD W,,Match,0/0
4983,OLDE COVENTRY RD W,,Match,0/0
2049,LAKE CLUB TER,,Match,0/0
656,CHANTRY DR,,No_Match,0/16
3766,BUCKMAN ST,,Match,0/0
2405,SHORE BLVD E,,Match,0/0
3868,RIVERCREEK BAY WAY,,Match,0/0
3620,RIVERDALE SQ,,Match,0/0
5792,HIBERNIA DR,A,Match,0/1
5622,TINLEY PARK,,Match,0/0
3391,SUFFIELD,,Match,0/0
5555,HIBERNIA DR,C,Match,0/1
572,CHANTRY DR,,No_Match,0/16
3355,WINTER LANE PARK,,Match,0/0
3305,SUFFIELD,,Match,0/0
2718,EASTLAND MALL,,Match,0/1
6133,MCNAUGHTEN CT,,Match,0/1
324,CHANTRY DR,,No_Match,0/16
1285,YORKLAND RD,UNIT D,Match,23/34
5346,YORKSHIRE VILLAGE LN,,Match,0/0
4977,OLDE COVENTRY RD W,,Match,0/0
4591,WORDSWORTH CT,A,Match,0/0
4313,DONLYN CT,,Match,0/0
4405,CROSSROADS CENTER,,Match,0/0
3708,KIMBERLY PKWY N,,Match,0/0
4583,ISINGTON CT,C,Match,0/0
1536,CABORA LN,,Match,0/0
5439,LONSDALE PL S,UNIT B,Match,0/0
5980,LAKE CLUB SQ,F,Match,0/1
6759,MCNAUGHTEN CT,,No_Match,0/1
5536,DUNFIELD LN,6,Match,0/1
6095,MCNAUGHTEN CENTER,,Match,0/0
428,LITTLE BROOK WAY,,No_Match,30/31
4521,LAKE SIDE S,,Match,0/0
3170,EASTHAVEN DR S,,Match,0/0
5413,LONSDALE PL S,,Match,0/0
1620,COPPERTREE RD,,Match,2/2
4597,REFUGEE RD,1F,Match,119/267
2570,S HAMILTON RD,,Match,242/753
5556,MILLERSFIELD DR,,Match,0/1
3253,ELIM MANOR CT,,Match,0/1
5618,TINLEY PARK,,Match,0/0
1486,ABRAHAM WOODS,,Match,0/0
4652,CHANNING TER,D,Match,0/0
3594,ARIEL DR,,Match,0/0
6333,MCNAUGHTEN CT,,No_Match,0/1
2844,CITIZENS PL,E,Match,0/1
5980,LAKE CLUB SQ,B,Match,0/1
4112,JENERA PL,,Match,0/0
5145,CEDAR DR,D,Match,15/24
2422,HUDSON BAY WAY,,Match,0/0
2814,BANWICK RD,,Match,0/9
2618,BIRCHTREE WAY,,Match,0/0
4201,DONLYN CT,,Match,0/0
3115,ELIM ESTATES DR,,Match,0/49
5580,TINLEY PARK,,Match,0/0
2875,WINCHESTER CT,C,Match,1/3
44,LITTLE BROOK WAY,,No_Match,30/31
5894,SHANA DR,,Match,0/1
4567,MANDEVILLE CT,C,Match,0/0
2786,CITIZENS PL,D,Match,0/1
3903,RIVERCREEK BAY WAY,,Match,0/0
3643,FARTHING LN,,Match,0/2
2260,SEVILLE AVE,,Match,0/1
6353,MCNAUGHTEN CT,,No_Match,0/1
5448,LONSDALE PL S,UNIT B,Match,0/0
2092,S HAMILTON RD,,Match,242/753
2344,RANDY CT,,Match,0/0
2779,CITIZENS PL,G,Match,0/1
5467,E LIVINGSTON AVE,UNIT D,Match,406/920
96,CHANTRY DR,,No_Match,0/16
3322,TRADAN DR,,Match,0/1
5551,HIBERNIA DR,C,Match,0/1
128,LITTLE BROOK WAY,,No_Match,30/31
2797,MARWOOD CT,A,Match,0/1
3756,KIMBERLY WEST DR,,Tie,0/0
4249,DONLYN CT,,Match,0/0
4241,KIMBERLY PKWY N,,Match,0/0
5689,HIBERNIA DR,B,Match,0/1
52,LITTLE BROOK WAY,,No_Match,30/31
640,CHANTRY DR,,No_Match,0/16
132,CHANTRY DR,,No_Match,0/16
2731,TENNYSON BLVD,C,Match,0/0
6057,LAKE CLUB PL,,Match,0/0
600,CHANTRY DR,,No_Match,0/16
4609,REFUGEE RD,3L,Match,119/267
2311,HAMILTON RD,,Match,242/753
5844,HALLRIDGE CIR,A,Match,0/0
5030,COVENTRY DR,B,Match,0/0
3378,SUFFIELD,,Match,0/0
4800,LARAINE CT,201,Match,0/0
2435,CHELSEA CT,,Match,0/0
5145,CEDAR DR,C,Match,15/24
2232,SUNSHINE PL,,Match,0/1
2764,BRANDY DR,102,Match,0/1
4515,LAKE SIDE S,J,Match,0/0
2439,CHELSEA CT,,Match,0/0
422,CHANTRY DR,,No_Match,0/16
2434,HUDSON BAY WAY,,Match,0/0
2322,PETZINGER CT,,Match,0/0
3187,WABASH CT S,,Match,0/0
2425,KIMBERLY PKWY E,1,Match,0/0
640,LITTLE BROOK WAY,,No_Match,30/31
4661,COLERIDGE CT,C,Match,0/0
5747,HIBERNIA DR,B,Match,0/1
4597,REFUGEE RD,1E,Match,119/267
5454,CHATFORD SQ,,Match,0/1
4774,LARAINE CT,102,Match,0/0
2778,TENNYSON BLVD,A,Match,0/0
2547,FRANKSWAY ST,,Match,0/1
5081,CEDAR DR,,Match,15/24
3755,KIMBERLY WEST DR,UNIT 3,Tie,0/0
2404,HUDSON BAY WAY,,Match,0/0
2320,SEVILLE AVE,,Match,0/1
3374,SUFFIELD,,Match,0/0
2337,HAMILTON RD,,Match,242/753
2900,NATHANIEL BLVD,D,Match,0/0
4968,OLDE COVENTRY RD W,,Match,0/0
4108,PORSCHE CT,,Match,0/1
630,CHANTRY DR,,No_Match,0/16
4605,REFUGEE RD,2B,Match,119/267
3182,WEBSTER DR,,Match,0/0
5880,YORKLAND CT,UNIT M,Match,0/1
6155,MCNAUGHTEN CT,,Match,0/1
5356,YORKSHIRE TERRACE DR,D,Match,0/0
540,LITTLE BROOK WAY,,No_Match,30/31
2313,HAMILTON RD,,Match,242/753
4615,REFUGEE RD,2E,Match,119/267
2314,PETZINGER CT,,Match,0/0
3952,LAUREL LN,,Match,2/2
2222,SUNSHINE PL,,Match,0/1
2797,TENNYSON BLVD,D,Match,0/0
3755,EMRICK CT,,Match,0/0
4980,COVENTRY CT S,,Match,0/0
2481,SHORE BLVD E,K,Match,0/0
4603,REFUGEE RD,2D,Match,119/267
2568,S HAMILTON RD,,Match,242/753
5675,BAIRSFORD CIR N,11,Match,0/0
2283,MUIRWOOD DR,,Match,0/1
5893,SHANA DR,,Match,0/1
5462,LONSDALE PL N,UNIT D,Match,0/0
2614,BIRCHTREE WAY,,Match,0/0
4669,REFUGEE RD,1G,Match,119/267
400,LITTLE BROOK WAY,,No_Match,30/31
4585,LAKE SIDE S,L,Match,0/0
284,LITTLE BROOK WAY,,No_Match,30/31
5398,YORKSHIRE TERRACE DR,,Match,0/0
3760,BIRCHTREE LN,,Match,0/0
5685,BAIRSFORD CIR N,10,Match,0/0
2238,S HAMILTON RD,100,Match,242/753
2741,WINCHESTER PIKE,,Match,4/13
2882,TENNYSON BLVD,,Match,0/0
2800,MARWOOD CT,D,Match,0/1
2785,MARWOOD CT,D,Match,0/1
6189,MCNAUGHTEN CT,,Match,0/1
4689,HILTON CORPORATE DR,,Match,0/3
2834,WYMAN CT,A,Match,0/0
4650,HILTON CORPORATE DR,318,Match,0/3
3100,WINCHESTER PIKE,,Match,4/13
2696,S HAMILTON RD,,Match,242/753
4616,CHANNING TER,B,Match,0/0
4609,REFUGEE RD,3H,Match,119/267
176,LITTLE BROOK WAY,,No_Match,30/31
4544,LAKE SIDE S,B,Match,0/0
4431,CROSSROADS CENTER,,Match,0/0
5596,MILLERSFIELD DR,,Match,0/1
5501,E LIVINGSTON AVE,UNIT D,Match,406/920
2457,HUDSON BAY WAY,,Match,0/0
2501,EASTERN PINE RD,,Match,0/0
4261,KIMBERLY PKWY,,Match,0/1
4613,REFUGEE RD,1A,Match,119/267
3072,ROTUNDA CT N,,Match,0/0
4597,REFUGEE RD,3F,Match,119/267
4650,HILTON CORPORATE DR,316,Match,0/3
5588,AUTUMN CHASE DR,,Match,0/1
4788,ROLLINGBROOK LN,C,Match,0/0
5018,COVENTRY CT N,,Match,0/0
4244,EASTLAND SQUARE DR,,Match,0/1
2513,EASTERN PINE RD,,Match,0/0
6041,LAKE CLUB PL,,Match,0/0
2100,SUNSHINE PL,,Match,0/1
2926,WESSON DR,,No_Match,18/18
4098,JENERA PL,,Match,0/0
2793,GROSSE POINT,,Match,0/0
2845,CITIZENS PL,D,Match,0/1
1902,OLDE COVENTRY RD E,,Match,0/0
4570,MANDEVILLE CT,D,Match,0/0
1848,COVENTRY LN,,Match,0/0
3739,BIRCHTREE LN,,Match,0/0
2880,NATHANIEL BLVD,,Match,0/0
1906,OLDE COVENTRY RD E,,Match,0/0
5685,BAIRSFORD CIR N,17,Match,0/0
5460,E LIVINGSTON AVE,,Match,406/920
2220,S HAMILTON RD,,Match,242/753
4281,EASTLAND SQUARE DR,,Match,0/1
4612,CHANNING TER,C,Match,0/0
2205,COURTSIDE DR,E,Match,0/2
2300,PETZINGER CT,,Match,0/0
4327,DONLYN CT,,Match,0/0
3404,WINTER LANE PARK,,Match,0/0
4631,WORDSWORTH CT,,Match,0/0
3338,WINTER LANE PARK,,Match,0/0
6677,MCNAUGHTEN CT,,No_Match,0/1
3811,KIMBERLY PKWY N,,Match,0/0
1778,LONSDALE PL E,UNIT B,Match,0/0
2423,KIMBERLY PKWY N,,Tie,0/0
2537,SILVER OAK DR,,Match,0/1
2810,CITIZENS PL,H,Match,0/1
2883,SHILLING DR,,Match,0/0
3596,ARIEL DR,,Match,0/0
618,CHANTRY DR,,No_Match,0/16
642,LITTLE BROOK WAY,,No_Match,30/31
4258,GROVES RD,,Match,4/54
4582,HEMINGWAY CT,A,Match,0/1
5657,HIBERNIA DR,A,Match,0/1
2870,WOOLWICH CT,102,Match,0/0
4520,LAKE SIDE S,A,Match,0/0
2852,CITIZENS PL,G,Match,0/1
3245,ST BERNARD CIR,,Match,0/0
3895,RIVERCREEK BAY WAY,,Match,0/0
2281,CRESWICK ST,,Match,0/1
4618,CHANNING TER,A,Match,0/0
5145,CEDAR DR,B,Match,15/24
444,LITTLE BROOK WAY,,No_Match,30/31
6491,MCNAUGHTEN CT,,No_Match,0/1
1858,COVENTRY LN,A,Match,0/0
2885,SHILLING DR,,Match,0/0
2421,SHORE BLVD E,B,Match,0/0
5912,SHANA DR,,Match,0/1
4818,LARAINE CT,202,Match,0/0
2510,KIMBERLY PKWY E,206,Match,0/0
5415,YORKSHIRE TERRACE DR,2A,Match,0/0
3716,KNIGHTSWAY LN,,Match,0/2
2778,BERWICK SQ,,Match,0/1
4774,LARAINE CT,103,Match,0/0
5518,DUNFIELD LN,4,Match,0/1
5345,YORKSHIRE TERRACE DR,B,Match,0/0
5459,RED BIRD CT,,Match,0/1
6355,MCNAUGHTEN CT,,No_Match,0/1
22,CHANTRY DR,,No_Match,0/16
5330,YORKSHIRE TERRACE DR,A1,Match,0/0
5726,HIBERNIA DR,,Match,0/1
2851,CITIZENS PL,H,Match,0/1
2779,CITIZENS PL,D,Match,0/1
2776,BERWICK SQ,,Match,0/1
5569,AUTUMN CHASE DR,,Match,0/1
2516,EASTERN PINE RD,,Match,0/0
2798,MARWOOD CT,A,Match,0/1
2303,HAMILTON RD,,Match,242/753
4642,HEBRIDES DR,D,Match,0/0
1762,LONSDALE PL E,UNIT D,Match,0/0
2774,BERWICK SQ,,Match,0/1
6273,MCNAUGHTEN CT,,Match,0/1
2219,SEVILLE AVE,,Match,0/1
4538,LAKE SIDE N,,Match,0/0
2518,EASTERN PINE RD,,Match,0/0
3591,ARIEL DR,,Match,0/0
5560,HIBERNIA DR,,Match,0/1
2174,ROTUNDA DR,,Match,6/10
5516,DUNFIELD LN,5,Match,0/1
2238,S HAMILTON RD,200,Match,242/753
2780,CITIZENS PL,B,Match,0/1
5704,HIBERNIA DR,B,Match,0/1
2110,MUIRWOOD DR,,Match,0/1
3340,SUFFIELD,,Match,0/0
2478,FOREST GREEN CT,,Match,0/0
5742,HIBERNIA DR,C,Match,0/1
5470,CHATFORD SQ,,Match,0/1
4619,REFUGEE RD,3C,Match,119/267
5677,HIBERNIA DR,C,Match,0/1
4575,LAKE SIDE S,A,Match,0/0
5734,HIBERNIA DR,,Match,0/1
2852,CITIZENS PL,B,Match,0/1
2003,BRICE RD,,No_Match,177/386
4655,REFUGEE RD,2A,Match,119/267
2476,SHORE BLVD W,,Match,0/0
6030,LAKE CLUB CT,,Match,0/1
2130,SUNSHINE PL,,Match,0/1
5844,HALLRIDGE CIR,D,Match,0/0
2222,SEVILLE AVE,,Match,0/1
6653,MCNAUGHTEN CT,,No_Match,0/1
4777,ROLLINGBROOK LN,A,Tie,0/0
5459,E LIVINGSTON AVE,,Match,406/920
2724,EASTLAND MALL,,Match,0/1
2847,CITIZENS PL,H,Match,0/1
2100,S HAMILTON RD,,Match,242/753
5910,SHANA DR,,Match,0/1
5859,CHANTRY DR,,Match,0/16
3735,CHARBERT CT,,Match,0/0
216,LITTLE BROOK WAY,,No_Match,30/31
3965,KIMBERLY PKWY N,,Match,0/0
1787,CHANNINGWAY CT E,,Match,0/0
3215,WEBSTER DR,,Match,0/0
3287,WINTER LANE PARK,,Match,0/0
3743,NOAM CT,,Match,0/0
3671,RIVERDALE SQ,,Match,0/0
2056,PINE GROVE LN,,Match,0/1
1950,OLDE COVENTRY RD E,,Match,0/0
5381,YORKSHIRE TERRACE DR,,Match,0/0
6,LITTLE BROOK WAY,,No_Match,30/31
646,CHANTRY DR,,No_Match,0/16
5762,HIBERNIA DR,A,Match,0/1
4490,GROVES RD,,Match,4/54
2747,EASTLAND MALL,UNIT A,Match,0/1
3329,WINTER LANE PARK,,Match,0/0
2702,EASTLAND MALL,,Match,0/1
2057,LAKE CLUB TER,,Match,0/0
3246,ST BERNARD CIR,,Match,0/0
6153,MCNAUGHTEN CT,,Match,0/1
4747,HILTON CORPORATE DR,,Match,0/3
4601,REFUGEE RD,3G,Match,119/267
5381,YORKSHIRE TERRACE DR,4B,Match,0/0
5413,LONSDALE PL S,UNIT C,Match,0/0
2255,SUNSHINE PL,,Match,0/1
2845,CITIZENS PL,G,Match,0/1
5902,SHANA DR,,Match,0/1
5321,YORKSHIRE TERRACE DR,,Match,0/0
6163,MCNAUGHTEN CT,,Match,0/1
4285,DONLYN CT,,Match,0/0
3954,LAUREL LN,,Match,2/2
2915,WINCHESTER PIKE,,Match,4/13
2361,SHORE BLVD E,B,Match,0/0
526,LITTLE BROOK WAY,,No_Match,30/31
1557,APPLETON CT,,Match,0/0
3425,SUFFIELD,,Match,0/0
6487,MCNAUGHTEN CT,,No_Match,0/1
2153,RIVERDALE SQ W,,Match,0/0
6635,MCNAUGHTEN CT,,No_Match,0/1
2902,MERRYMOUNT CT,A,Match,0/0
3036,ROTUNDA CT S,,Match,0/0
4091,COVENTRY DR,,Match,0/0
6689,MCNAUGHTEN CT,,No_Match,0/1
4107,ALVADA ST,,Match,0/0
3631,RIVERDALE SQ,,Match,0/0
3637,RIVERDALE SQ,,Match,0/0
2881,TENNYSON BLVD,107,Match,0/0
4605,REFUGEE RD,2C,Match,119/267
2170,SUNSHINE PL,,Match,0/1
2531,SILVER OAK DR,,Match,0/1
3733,CHARBERT CT,,Match,0/0
4586,ISINGTON CT,201,Match,0/0
4580,ISINGTON CT,,Match,0/0
3720,NOAM CT,,Match,0/0
2916,MERRYMOUNT CT,,Match,0/0
1568,ALLENFORD CT,,Match,0/0
482,LITTLE BROOK WAY,,No_Match,30/31
5796,HIBERNIA DR,A,Match,0/1
4707,HILTON CORPORATE DR,,Match,0/3
5099,CEDAR DR,L,Match,15/24
6001,LAKE CLUB CT,B,Match,0/1
2492,SCARBOROUGH SQ,3,Match,0/0
5014,COVENTRY DR,B,Match,0/0
2855,CITIZENS PL,C,Match,0/1
2510,KIMBERLY PKWY E,UNIT 301,Match,0/0
2164,RIVERDALE SQ W,,Match,0/0
6351,MCNAUGHTEN CT,,No_Match,0/1
214,LITTLE BROOK WAY,,No_Match,30/31
5502,CHATFORD SQ,,Match,0/1
6279,MCNAUGHTEN CT,,Match,0/1
3058,ROTUNDA CT S,,Match,0/0
5830,HALLRIDGE CIR,,Match,0/0
318,CHANTRY DR,,No_Match,0/16
2309,HAMILTON RD,,Match,242/753
3997,PENNIMAN ST,,No_Match,0/1
4682,FENIMORE CT,A,Match,0/0
6587,MCNAUGHTEN CT,,No_Match,0/1
5044,COVENTRY DR,,Match,0/0
5734,HIBERNIA DR,A,Match,0/1
5599,HIBERNIA DR,C,Match,0/1
5050,COVENTRY CT N,D,Match,0/0
4578,ISINGTON CT,A,Match,0/0
2694,S HAMILTON RD,,Match,242/753
5652,HIBERNIA DR,,Match,0/1
5751,SPRUCE TREE DR,,Match,0/0
6018,LAKE CLUB CT,,Match,0/1
2711,EASTLAND MALL,UNIT A,Match,0/1
4599,MONMOUTH CT,208,Match,0/0
2348,RANDY CT,,Match,0/0
430,CHANTRY DR,,No_Match,0/16
4621,REFUGEE RD,2C,Match,119/267
2859,CITIZENS PL,F,Match,0/1
4665,REFUGEE RD,2G,Match,119/267
5648,HIBERNIA DR,,Match,0/1
3383,WINTER LANE PARK,,Match,0/0
2090,LAKE CLUB TER,,Match,0/0
5461,CHATFORD SQ,,Match,0/1
3704,SOFT WIND DR,,Match,0/0
5659,E LIVINGSTON AVE,,Match,406/920
3254,WINTER LANE PARK,,Match,0/0
3964,LAUREL LN,,Match,2/2
4279,DONLYN CT,,Match,0/0
4663,REFUGEE RD,3C,Match,119/267
4428,CROSSROADS CENTER,,Match,0/0
3600,RIVERDALE SQ,,Match,0/0
5829,MAPLE TREE LN,,Match,0/0
4615,HEBRIDES DR,B,Match,0/0
2789,MARWOOD CT,,Match,0/1
5730,HIBERNIA DR,C,Match,0/1
1915,OLDE COVENTRY RD E,,Match,0/0
2101,PINE GROVE LN,,Match,0/1
4575,MONMOUTH CT,,Match,0/0
2305,MUIRWOOD DR,,Match,0/1
2096,SUNSHINE PL,,Match,0/1
2800,BERWICK SQ,,Match,0/1
4617,REFUGEE RD,2F,Match,119/267
2119,PINE GROVE LN,,Match,0/1
4985,COVENTRY DR,,Match,0/0
4264,EASTLAND SQUARE DR,,Match,0/1
3157,WEBSTER DR,,Match,0/0
2321,SEVILLE AVE,,Match,0/1
6305,MCNAUGHTEN CT,,No_Match,0/1
2236,S HAMILTON RD,103,Match,242/753
3688,BUCKMAN ST,,Match,0/0
3755,KIMBERLY WEST DR,UNIT 5,Tie,0/0
234,LITTLE BROOK WAY,,No_Match,30/31
3831,BUCKMAN ST,,Match,0/0
3603,REFUGEE RD,,Match,119/267
4686,FENIMORE CT,D,Match,0/0
5880,YORKLAND CT,UNIT C,Match,0/1
2785,CITIZENS PL,H,Match,0/1
2915,TENNYSON BLVD,D,Match,0/0
3019,ROTUNDA CT S,,Match,0/0
2752,TENNYSON BLVD,,Match,0/0
3330,WINCHESTER PIKE,,Match,4/13
2126,PINE GROVE LN,,Match,0/1
598,CHANTRY DR,,No_Match,0/16
5357,YORKSHIRE TERRACE DR,C,Match,0/0
2374,MALKA CT,,Match,0/0
4560,LAKE SIDE N,C,Match,0/0
4001,S HAMILTON RD,,No_Match,242/753
132,LITTLE BROOK WAY,,No_Match,30/31
1289,YORKLAND RD,UNIT J,Match,23/34
3689,FARTHING LN,,Match,0/2
2828,TENNYSON BLVD,C,Match,0/0
4110,ALVADA ST,,Match,0/0
2317,RANDY CT,,Match,0/0
552,CHANTRY DR,,No_Match,0/16
2296,PETZINGER CT,,Match,0/0
614,CHANTRY DR,,No_Match,0/16
5707,SPRUCE TREE DR,,Match,0/0
2851,ROCKFORD LN,,Match,0/0
