address,number,street,unit,city,state,zip,latitude,longitude,parcel_id,land_use_code,land_use_type,verification,homestead,year_built,bedrooms,bathrooms,appraised_value,annual_tax,sale_price,sale_date,census_match,census_matched_address
"3732 SHORELINE DR, Columbus, OH, 43232",3732,SHORELINE DR,,Columbus,OH,43232,39.9017777,-82.8571827,180-002470,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,144700.00,2496.8,32250,05/01/2017,Y,Exact
"5383 INLET DR, Columbus, OH, 43232",5383,INLET DR,,Columbus,OH,43232,39.9030291,-82.8590426,180-002564,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,120000.00,2070.88,56300,04/12/2017,Y,Exact
"4563 WALBURN RD, Columbus, OH, 43232",4563,WALBURN RD,,Columbus,OH,43232,39.9017656,-82.8779272,180-001834,510,SINGLE_FAMILY,auditor_parcel,,1963,4,3,297700.00,5022.68,0,08/29/2019,Y,Exact
"3816 BONITA RD, Columbus, OH, 43232",3816,BONITA RD,,Columbus,OH,43232,39.8992801,-82.8657133,180-002006,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,160800.00,2713.3,165000,08/09/2021,Y,Exact
"3688 TYLOR DR, Columbus, OH, 43232",3688,TYLOR DR,,Columbus,OH,43232,39.9022449,-82.8593415,180-002613,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,144200.00,2488.4,32600,05/15/1980,Y,Exact
"3701 SHORELINE DR, Columbus, OH, 43232",3701,SHORELINE DR,,Columbus,OH,43232,39.9024986,-82.8568192,180-002578,510,SINGLE_FAMILY,auditor_parcel,,1963,4,1,177000.00,2986.62,103400,11/14/2018,Y,Exact
"3714 TYLOR DR, Columbus, OH, 43232",3714,TYLOR DR,,Columbus,OH,43232,39.9017484,-82.8594031,180-002610,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,169000.00,2851.64,94900,03/21/2017,Y,Exact
"5145 FULLERTON DR, Columbus, OH, 43232",5145,FULLERTON DR,,Columbus,OH,43232,39.896801,-82.8677888,180-002154,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,161900.00,2793.54,65000,05/31/2019,Y,Exact
"2978 UPTON RD E, Columbus, OH, 43232",2978,UPTON RD E,,Columbus,OH,43232,39.9164653,-82.8564203,260-000294,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,153000.00,2768.86,0,12/18/1996,Y,Non_Exact
"5111 NORCREST DR, Columbus, OH, 43232",5111,NORCREST DR,,Columbus,OH,43232,39.9176783,-82.8570077,260-000329,510,SINGLE_FAMILY,auditor_parcel,,1970,3,2,251700.00,4554.48,266500,12/14/2023,Y,Exact
"3863 BONITA RD, Columbus, OH, 43232",3863,BONITA RD,,Columbus,OH,43232,39.8983584,-82.8662823,180-002262,510,SINGLE_FAMILY,auditor_parcel,,1963,4,1,210600.00,3553.46,169900,02/11/2021,Y,Exact
"4776 CROSSCREEK DR, Columbus, OH, 43232",4776,CROSSCREEK DR,,Columbus,OH,43232,39.9074918,-82.866031,180-005283,510,SINGLE_FAMILY,auditor_parcel,,2001,4,2,247500.00,4175.76,189900,12/05/2019,Y,Exact
"3235 FAYCREST RD, Columbus, OH, 43232",3235,FAYCREST RD,,Columbus,OH,43232,39.9104275,-82.8624959,180-004081,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,136100.00,2296.36,37200,12/29/1983,Y,Exact
"3490 DEMINGTON RD, Columbus, OH, 43232",3490,DEMINGTON RD,,Columbus,OH,43232,39.9050995,-82.8703315,180-003531,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,165600.00,2793.78,75000,02/24/2015,Y,Exact
"5101 NORCREST DR, Columbus, OH, 43232",5101,NORCREST DR,,Columbus,OH,43232,39.9176776,-82.8572358,260-000328,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,160500.00,2904.32,130000,09/01/2023,Y,Exact
"3841 EVANSTON RD, Columbus, OH, 43232",3841,EVANSTON RD,,Columbus,OH,43232,39.899064,-82.8641475,180-002084,510,SINGLE_FAMILY,auditor_parcel,,1964,3,2,172200.00,2905.64,95000,02/19/2020,Y,Exact
"3870 BONITA RD, Columbus, OH, 43232",3870,BONITA RD,,Columbus,OH,43232,39.898277,-82.8658185,180-002012,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,175700.00,3031.64,0,12/30/2013,Y,Exact
"3903 BONITA RD, Columbus, OH, 43232",3903,BONITA RD,,Columbus,OH,43232,39.8976512,-82.866471,180-002258,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,217400.00,3667.7,135000,04/19/2019,Y,Exact
"5047 CHIPMAN DR, Columbus, OH, 43232",5047,CHIPMAN DR,,Columbus,OH,43232,39.8985343,-82.8693698,180-002329,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,159500.00,2691.14,0,11/16/2005,Y,Exact
"4996 BENTLER DR, Columbus, OH, 43232",4996,BENTLER DR,,Columbus,OH,43232,39.9013065,-82.869716,180-001978,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,171200.00,2888.76,58945,10/28/1983,Y,Exact
"3885 SIGNAL DR, Columbus, OH, 43232",3885,SIGNAL DR,,Columbus,OH,43232,39.8985745,-82.8599962,180-002420,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,159300.00,2687.76,34000,08/15/1984,Y,Exact
"5106 HARBOR BLVD, Columbus, OH, 43232",5106,HARBOR BLVD,,Columbus,OH,43232,39.9027528,-82.86617,180-003078,510,SINGLE_FAMILY,auditor_parcel,,1967,3,1,155300.00,2620.28,159899,03/15/2021,Y,Exact
"3799 SHORELINE DR, Columbus, OH, 43232",3799,SHORELINE DR,,Columbus,OH,43232,39.9007793,-82.8581542,180-002628,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,147000.00,2480,60900,11/20/2006,Y,Exact
"4908 HARBOR BLVD, Columbus, OH, 43232",4908,HARBOR BLVD,,Columbus,OH,43232,39.9030987,-82.8710658,180-003099,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,199200.00,3360.66,0,05/11/1990,Y,Exact
"3824 LAGUNA DR, Columbus, OH, 43232",3824,LAGUNA DR,,Columbus,OH,43232,39.8997726,-82.8588048,180-002456,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,149400.00,2520.5,228000,07/30/2024,Y,Exact
"5064 WYMORE DR, Columbus, OH, 43232",5064,WYMORE DR,,Columbus,OH,43232,39.9057178,-82.865765,180-003326,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,139800.00,2412.5,0,08/06/2015,Y,Exact
"5146 HATFIELD DR, Columbus, OH, 43232",5146,HATFIELD DR,,Columbus,OH,43232,39.912536,-82.8605711,180-004703,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,151800.00,2619.54,0,10/13/2022,Y,Exact
"4925 ZIMMER DR, Columbus, OH, 43232",4925,ZIMMER DR,,Columbus,OH,43232,39.9034552,-82.8705009,180-003467,510,SINGLE_FAMILY,auditor_parcel,,1965,4,2,199600.00,3367.4,80300,05/19/2016,Y,Exact
"3507 CLARETTA RD, Columbus, OH, 43232",3507,CLARETTA RD,,Columbus,OH,43232,39.9057473,-82.8601296,180-003720,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,153800.00,2595.2,108000,12/18/2020,Y,Exact
"3691 SHORELINE DR, Columbus, OH, 43232",3691,SHORELINE DR,,Columbus,OH,43232,39.9026182,-82.8565917,180-002577,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,149400.00,2520.98,133000,06/17/2021,Y,Exact
"5176 BENHAM DR, Columbus, OH, 43232",5176,BENHAM DR,,Columbus,OH,43232,39.9117447,-82.8605207,180-004035,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,156100.00,2633.78,47500,08/01/1988,Y,Exact
"3316 EVERSON RD W, Columbus, OH, 43232",3316,EVERSON RD W,,Columbus,OH,43232,39.9097535,-82.8544253,180-004624,510,SINGLE_FAMILY,auditor_parcel,,1972,4,1,125000.00,2157.16,27001,01/31/2013,Y,Exact
"5140 FULLERTON DR, Columbus, OH, 43232",5140,FULLERTON DR,,Columbus,OH,43232,39.8972183,-82.8678766,180-002250,510,SINGLE_FAMILY,auditor_parcel,Y,1963,3,1,156100.00,2161.4,0,11/04/2019,Y,Exact
"3900 GLENFIELD RD, Columbus, OH, 43232",3900,GLENFIELD RD,,Columbus,OH,43232,39.8977465,-82.8647786,180-002110,510,SINGLE_FAMILY,auditor_parcel,,1953,3,1,146600.00,2529.32,199900,03/08/2024,Y,Exact
"3827 WADE RD, Columbus, OH, 43232",3827,WADE RD,,Columbus,OH,43232,39.8994057,-82.8620535,180-002783,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,168900.00,2849.72,71000,10/11/2017,Y,Exact
"3936 CLEARWATER DR, Columbus, OH, 43232",3936,CLEARWATER DR,,Columbus,OH,43232,39.897764,-82.8606478,180-002406,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,151000.00,2547.98,0,03/03/2014,Y,Exact
"5152 BURDETT DR, Columbus, OH, 43232",5152,BURDETT DR,,Columbus,OH,43232,39.9095666,-82.8619567,180-004146,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,161200.00,2781.22,0,01/12/2017,Y,Exact
"3101 WESTWICK RD, Columbus, OH, 43232",3101,WESTWICK RD,,Columbus,OH,43232,39.9079108,-82.9094866,180-001470,510,SINGLE_FAMILY,auditor_parcel,,1959,3,1,216700.00,3656.14,92000,01/03/2011,Y,Exact
"3324 LATONIA CT, Columbus, OH, 43232",3324,LATONIA CT,,Columbus,OH,43232,39.9085652,-82.8607003,180-004169,510,SINGLE_FAMILY,auditor_parcel,,1965,2,1,193000.00,3329.88,219000,03/04/2024,Y,Exact
"5173 PARKLINE DR, Columbus, OH, 43232",5173,PARKLINE DR,,Columbus,OH,43232,39.9152263,-82.8573658,260-000355,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,168000.00,2975.82,75500,10/26/2016,Y,Exact
"3282 DUNLOE RD, Columbus, OH, 43232",3282,DUNLOE RD,,Columbus,OH,43232,39.9099815,-82.8587256,180-004605,510,SINGLE_FAMILY,auditor_parcel,,1972,3,1,163400.00,2757.16,52000,05/23/1983,Y,Exact
"3014 OSGOOD RD E, Columbus, OH, 43232",3014,OSGOOD RD E,,Columbus,OH,43232,39.9161646,-82.8532708,260-000213,510,SINGLE_FAMILY,auditor_parcel,,1971,4,2,231000.00,4091.58,111100,09/12/2019,Y,Exact
"5077 TREMAINE CT, Columbus, OH, 43232",5077,TREMAINE CT,,Columbus,OH,43232,39.9061454,-82.8656353,180-003319,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,145100.00,2448.18,164000,02/14/2022,Y,Exact
"4800 CROSSCREEK DR, Columbus, OH, 43232",4800,CROSSCREEK DR,,Columbus,OH,43232,39.9074431,-82.8666581,180-005286,510,SINGLE_FAMILY,auditor_parcel,,2001,3,2,239000.00,4032.6,0,10/30/2019,Y,Exact
"3312 LATONIA CT, Columbus, OH, 43232",3312,LATONIA CT,,Columbus,OH,43232,39.9087288,-82.8606155,180-004170,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,187300.00,3231.78,220000,06/03/2025,Y,Exact
"4544 MADISON SCHOOL DR, Columbus, OH, 43232",4544,MADISON SCHOOL DR,,Columbus,OH,43232,39.907299,-82.8780642,180-004879,510,SINGLE_FAMILY,auditor_parcel,,1962,3,1,189300.00,3266.28,0,08/11/2014,Y,Exact
"3369 EVERSON RD W, Columbus, OH, 43232",3369,EVERSON RD W,,Columbus,OH,43232,39.9085975,-82.8549719,180-004663,510,SINGLE_FAMILY,auditor_parcel,Y,1971,3,2,183400.00,2621.72,0,01/03/2007,Y,Exact
"4755 GLENGATE DR, Columbus, OH, 43232",4755,GLENGATE DR,,Columbus,OH,43232,39.9050635,-82.8749402,180-003634,510,SINGLE_FAMILY,auditor_parcel,Y,1970,3,1,174900.00,2478.56,0,10/23/1970,Y,Exact
"3535 NEGLEY RD, Columbus, OH, 43232",3535,NEGLEY RD,,Columbus,OH,43232,39.9052134,-82.8591359,180-003189,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,176000.00,2969.74,94000,08/09/2016,Y,Exact
"5543 SHORELINE CT, Columbus, OH, 43232",5543,SHORELINE CT,,Columbus,OH,43232,39.9027936,-82.8551277,180-002481,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,204900.00,3457.06,132000,08/23/2019,Y,Exact
"5156 FULLERTON DR, Columbus, OH, 43232",5156,FULLERTON DR,,Columbus,OH,43232,39.897201,-82.8674417,180-002252,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,165400.00,2854.18,0,08/20/2019,Y,Exact
"5004 EWALD DR, Columbus, OH, 43232",5004,EWALD DR,,Columbus,OH,43232,39.8997419,-82.8701782,180-002214,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,190200.00,3209.3,107000,10/17/2017,Y,Exact
"3795 ATKINSON RD, Columbus, OH, 43232",3795,ATKINSON RD,,Columbus,OH,43232,39.8999586,-82.8630259,180-002050,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,171600.00,2895.5,105000,06/28/2018,Y,Exact
"3910 NOE BIXBY RD, Columbus, OH, 43232",3910,NOE BIXBY RD,,Columbus,OH,43232,39.8969735,-82.8722877,180-002173,510,SINGLE_FAMILY,auditor_parcel,,1967,3,2,224700.00,3791.12,91500,08/11/2000,Y,Exact
"3070 COURTRIGHT RD, Columbus, OH, 43232",3070,COURTRIGHT RD,,Columbus,OH,43232,39.9083232,-82.897034,180-000855,511,SINGLE_FAMILY,auditor_parcel,Y,1925,3,2,224700.00,3318.94,0,05/19/2010,Y,Exact
"3359 LATONIA RD, Columbus, OH, 43232",3359,LATONIA RD,,Columbus,OH,43232,39.9082863,-82.8602639,180-004164,510,SINGLE_FAMILY,auditor_parcel,,1965,4,1,155700.00,2627.02,225000,01/17/2025,Y,Exact
"4586 REINBEAU DR, Columbus, OH, 43232",4586,REINBEAU DR,,Columbus,OH,43232,39.9064718,-82.8774858,180-004856,510,SINGLE_FAMILY,auditor_parcel,,1971,4,2,233800.00,3944.38,189000,03/01/2021,Y,Exact
"3804 SHORELINE DR, Columbus, OH, 43232",3804,SHORELINE DR,,Columbus,OH,43232,39.9004544,-82.8580135,180-002461,510,SINGLE_FAMILY,auditor_parcel,,1963,3,2,156300.00,2696.94,246000,08/29/2024,Y,Exact
"4440 HELEN RD, Columbus, OH, 43232",4440,HELEN RD,,Columbus,OH,43232,39.9087135,-82.8843601,180-000709,510,SINGLE_FAMILY,auditor_parcel,,1929,2,1,86600.00,1494.12,420000,08/14/2024,Y,Non_Exact
"5088 RUTLEDGE DR N, Columbus, OH, 43232",5088,RUTLEDGE DR N,,Columbus,OH,43232,39.9141595,-82.8607507,180-004306,510,SINGLE_FAMILY,auditor_parcel,,1968,2,1,164500.00,2775.48,65200,06/13/2017,Y,Exact
"3302 EVERSON RD E, Columbus, OH, 43232",3302,EVERSON RD E,,Columbus,OH,43232,39.9099664,-82.8533748,180-004541,510,SINGLE_FAMILY,auditor_parcel,,1971,3,1,195100.00,3291.74,160000,08/17/2020,Y,Exact
"3524 ARNSBY RD, Columbus, OH, 43232",3524,ARNSBY RD,,Columbus,OH,43232,39.9074098,-82.8551156,180-001297,510,SINGLE_FAMILY,auditor_parcel,,1972,3,1,140200.00,2418.9,0,10/12/2021,Y,Exact
"5129 HATFIELD DR, Columbus, OH, 43232",5129,HATFIELD DR,,Columbus,OH,43232,39.9122401,-82.8610152,180-004694,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,187600.00,3165.44,125000,05/09/2019,Y,Exact
"4540 HELEN RD, Columbus, OH, 43232",4540,HELEN RD,,Columbus,OH,43232,39.908571,-82.8817677,180-000694,510,SINGLE_FAMILY,auditor_parcel,Y,1958,3,1,132600.00,1764.68,0,12/08/1969,Y,Non_Exact
"5205 SEDALIA DR, Columbus, OH, 43232",5205,SEDALIA DR,,Columbus,OH,43232,39.9060164,-82.8622448,180-003166,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,181300.00,3058.9,190000,02/03/2023,Y,Exact
"3027 INN RD, Columbus, OH, 43232",3027,INN RD,,Columbus,OH,43232,39.9105175,-82.909231,180-001385,510,SINGLE_FAMILY,auditor_parcel,,1957,3,1,255700.00,4314.1,105000,05/25/2017,Y,Exact
"3513 WYNCOTE RD, Columbus, OH, 43232",3513,WYNCOTE RD,,Columbus,OH,43232,39.9052609,-82.8641086,180-003275,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,150300.00,2535.94,196500,05/24/2024,Y,Exact
"2920 OLIVETTE RD, Columbus, OH, 43232",2920,OLIVETTE RD,,Columbus,OH,43232,39.9174407,-82.858404,260-000322,510,SINGLE_FAMILY,auditor_parcel,,1970,4,1,209400.00,3709.02,223000,11/13/2023,Y,Exact
"3567 NOE BIXBY RD, Columbus, OH, 43232",3567,NOE BIXBY RD,,Columbus,OH,43232,39.9034177,-82.8723578,180-002889,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,188200.00,3175.58,0,12/20/2022,Y,Exact
"2956 RENFRO RD, Columbus, OH, 43232",2956,RENFRO RD,,Columbus,OH,43232,39.9164918,-82.8595185,260-000384,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,190700.00,3450.76,0,05/16/2017,Y,Exact
"3318 WINDRIDGE DR, Columbus, OH, 43232",3318,WINDRIDGE DR,,Columbus,OH,43232,39.9078889,-82.8748307,180-005214,510,SINGLE_FAMILY,auditor_parcel,Y,1996,3,2,258200.00,3883.66,128382,09/25/1996,Y,Exact
"3381 WINDRIDGE DR, Columbus, OH, 43232",3381,WINDRIDGE DR,,Columbus,OH,43232,39.906562,-82.8751408,180-005193,510,SINGLE_FAMILY,auditor_parcel,,1998,3,2,251900.00,4249.98,195000,09/02/2021,Y,Exact
"3191 WENDOVER CT, Columbus, OH, 43232",3191,WENDOVER CT,,Columbus,OH,43232,39.911939,-82.8536878,180-004436,510,SINGLE_FAMILY,auditor_parcel,,1970,4,2,243000.00,4099.6,145000,11/05/2019,Y,Exact
"3552 WYMORE PL, Columbus, OH, 43232",3552,WYMORE PL,,Columbus,OH,43232,39.9043566,-82.8660715,180-003357,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,180800.00,3050.72,76900,05/03/2016,Y,Exact
"5309 NEGLEY CT, Columbus, OH, 43232",5309,NEGLEY CT,,Columbus,OH,43232,39.9064173,-82.8594736,180-003745,510,SINGLE_FAMILY,auditor_parcel,,1966,3,1,145400.00,2509.1,51000,11/07/2018,Y,Exact
"3400 LATONIA RD, Columbus, OH, 43232",3400,LATONIA RD,,Columbus,OH,43232,39.9074867,-82.8608622,180-003703,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,143600.00,2422.64,33685,08/22/1980,Y,Exact
"4652 STRATFORD LN, Columbus, OH, 43232",4652,STRATFORD LN,,Columbus,OH,43232,39.9061288,-82.8731672,180-005154,510,SINGLE_FAMILY,auditor_parcel,,1995,3,2,249300.00,4206.14,127500,06/17/2003,Y,Exact
"3312 SUNDALE RD, Columbus, OH, 43232",3312,SUNDALE RD,,Columbus,OH,43232,39.9096289,-82.8556866,180-004564,510,SINGLE_FAMILY,auditor_parcel,,1971,4,2,170600.00,2943.4,0,06/29/2018,Y,Exact
"4939 SILVERTON DR, Columbus, OH, 43232",4939,SILVERTON DR,,Columbus,OH,43232,39.9166202,-82.8625888,260-000405,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,188400.00,3337.44,170000,01/28/2025,Y,Exact
"5581 NEWPORT CT, Columbus, OH, 43232",5581,NEWPORT CT,,Columbus,OH,43232,39.9034779,-82.8536198,180-002494,510,SINGLE_FAMILY,auditor_parcel,,1963,3,2,191000.00,3295.38,160000,11/02/2021,Y,Exact
"5221 ZIMMER DR, Columbus, OH, 43232",5221,ZIMMER DR,,Columbus,OH,43232,39.9026281,-82.8632679,180-003122,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,165600.00,2794.28,203000,06/13/2023,Y,Exact
"3359 EVERSON RD E, Columbus, OH, 43232",3359,EVERSON RD E,,Columbus,OH,43232,39.9088621,-82.853886,180-004612,510,SINGLE_FAMILY,auditor_parcel,,1971,3,2,180900.00,3052.18,0,10/04/2024,Y,Exact
"3498 RODELL RD, Columbus, OH, 43232",3498,RODELL RD,,Columbus,OH,43232,39.9056882,-82.8627528,180-003153,510,SINGLE_FAMILY,auditor_parcel,,1964,2,1,183300.00,3162.76,75500,09/13/2019,Y,Exact
"3327 ARNSBY RD, Columbus, OH, 43232",3327,ARNSBY RD,,Columbus,OH,43232,39.9087306,-82.8600167,180-004161,510,SINGLE_FAMILY,auditor_parcel,,1965,3,1,176900.00,3052.34,45000,01/27/2009,Y,Exact
"3408 BEACHWORTH DR, Columbus, OH, 43232",3408,BEACHWORTH DR,,Columbus,OH,43232,39.9056773,-82.8789537,180-003574,520,TWO_FAMILY,auditor_parcel,,1971,6,2,266400.00,4596.76,0,07/06/2022,Y,Exact
"3558 TALFORD RD, Columbus, OH, 43232",3558,TALFORD RD,,Columbus,OH,43232,39.9037905,-82.8695795,180-003484,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,208400.00,3515.88,172500,09/10/2021,Y,Exact
"4995 TALFORD CT, Columbus, OH, 43232",4995,TALFORD CT,,Columbus,OH,43232,39.9041291,-82.8683373,180-003490,510,SINGLE_FAMILY,auditor_parcel,,1967,3,1,178200.00,3006.38,185000,12/12/2022,Y,Exact
"3310 EVERSON RD E, Columbus, OH, 43232",3310,EVERSON RD E,,Columbus,OH,43232,39.9097742,-82.8533952,180-004540,510,SINGLE_FAMILY,auditor_parcel,,1971,3,1,140000.00,2362.38,103000,08/28/2003,Y,Exact
"3372 WINDRIDGE DR, Columbus, OH, 43232",3372,WINDRIDGE DR,,Columbus,OH,43232,39.9067715,-82.874789,180-005217,510,SINGLE_FAMILY,auditor_parcel,,1995,3,2,267000.00,4504.48,232100,06/29/2021,Y,Exact
"3178 SUNDALE RD, Columbus, OH, 43232",3178,SUNDALE RD,,Columbus,OH,43232,39.912263,-82.8552224,180-004331,510,SINGLE_FAMILY,auditor_parcel,,1968,3,2,209000.00,3526.48,195000,08/05/2021,Y,Exact
"5346 NEWPORT RD, Columbus, OH, 43232",5346,NEWPORT RD,,Columbus,OH,43232,39.9041931,-82.8594763,180-002524,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,142700.00,2407.7,99000,02/17/2022,Y,Exact
"2904 SILVERTON CT, Columbus, OH, 43232",2904,SILVERTON CT,,Columbus,OH,43232,39.9174418,-82.8606429,260-000495,510,SINGLE_FAMILY,auditor_parcel,,1965,3,2,202700.00,3590.12,139900,12/31/2019,Y,Exact
"4535 REINBEAU DR, Columbus, OH, 43232",4535,REINBEAU DR,,Columbus,OH,43232,39.9062135,-82.8788425,180-004908,520,TWO_FAMILY,auditor_parcel,,1971,6,2,264800.00,4569.14,0,07/06/2022,Y,Exact
"3023 OSGOOD RD W, Columbus, OH, 43232",3023,OSGOOD RD W,,Columbus,OH,43232,39.9157589,-82.8547982,260-000227,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,166200.00,2943.94,0,06/17/2025,Y,Exact
"3517 RODELL RD, Columbus, OH, 43232",3517,RODELL RD,,Columbus,OH,43232,39.9051555,-82.8625112,180-003207,510,SINGLE_FAMILY,auditor_parcel,,1964,3,1,163800.00,2763.44,65000,03/02/2000,Y,Exact
"5177 SEDALIA DR, Columbus, OH, 43232",5177,SEDALIA DR,,Columbus,OH,43232,39.9063458,-82.8628097,180-003163,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,81300.00,1402.92,80000,03/09/2023,Y,Exact
"3141 SUNDALE PL W, Columbus, OH, 43232",3141,SUNDALE PL W,,Columbus,OH,43232,39.9128973,-82.8575178,180-004387,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,162600.00,2743.68,105000,01/03/2003,Y,Exact
"4655 BURKESHIRE DR, Columbus, OH, 43232",4655,BURKESHIRE DR,,Columbus,OH,43232,39.9066354,-82.8731343,180-005159,510,SINGLE_FAMILY,auditor_parcel,,1996,3,2,218000.00,3677.82,112000,07/31/1997,Y,Exact
"4613 WINDRIDGE CT, Columbus, OH, 43232",4613,WINDRIDGE CT,,Columbus,OH,43232,39.9079312,-82.8744067,180-005212,510,SINGLE_FAMILY,auditor_parcel,,1996,3,2,250300.00,4223,120750,11/19/1996,Y,Exact
"3441 TREMAINE RD, Columbus, OH, 43232",3441,TREMAINE RD,,Columbus,OH,43232,39.90648,-82.8642255,180-000021,510,SINGLE_FAMILY,auditor_parcel,,1971,3,2,187700.00,3238.68,227000,04/02/2024,Y,Exact
"3600 TALFORD RD, Columbus, OH, 43232",3600,TALFORD RD,,Columbus,OH,43232,39.9030274,-82.869661,180-003094,510,SINGLE_FAMILY,auditor_parcel,,1970,3,1,179300.00,3093.74,10943000,11/20/2024,Y,Exact
"5064 HARBOR BLVD, Columbus, OH, 43232",5064,HARBOR BLVD,,Columbus,OH,43232,39.9028234,-82.8673038,180-003083,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,171000.00,2885.4,90000,05/24/2010,Y,Exact
"3192 SUNDALE RD, Columbus, OH, 43232",3192,SUNDALE RD,,Columbus,OH,43232,39.9119461,-82.85526,180-004333,510,SINGLE_FAMILY,auditor_parcel,,1968,3,1,186400.00,3216.5,207000,09/28/2023,Y,Exact
"3022 WHITLOW RD, Columbus, OH, 43232",3022,WHITLOW RD,,Columbus,OH,43232,39.916049,-82.8522755,260-000164,510,SINGLE_FAMILY,auditor_parcel,,1971,3,1,161300.00,2918.78,180000,10/04/2021,Y,Exact
"3280 SUNDALE RD, Columbus, OH, 43232",3280,SUNDALE RD,,Columbus,OH,43232,39.9101314,-82.8556392,180-004567,510,SINGLE_FAMILY,auditor_parcel,Y,1971,4,1,196900.00,2849.72,0,09/02/1975,Y,Exact
"5470 DEFOREST DR, Columbus, OH, 43232",5470,DEFOREST DR,,Columbus,OH,43232,39.9082025,-82.8545101,180-004633,510,SINGLE_FAMILY,auditor_parcel,Y,1971,3,1,163300.00,2282.86,0,10/05/1973,Y,Exact
"2931 COURTRIGHT RD, Columbus, OH, 43232",2931,COURTRIGHT RD,,Columbus,OH,43232,39.913392,-82.8963571,180-000817,510,SINGLE_FAMILY,auditor_parcel,,1924,2,1,212900.00,3592.04,0,06/04/1985,Y,Exact
"5321 NEWPORT RD, Columbus, OH, 43232",5321,NEWPORT RD,,Columbus,OH,43232,39.9038744,-82.8601912,180-002690,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,144200.00,2433.24,100000,01/03/2019,Y,Exact
"2911 RENFRO RD, Columbus, OH, 43232",2911,RENFRO RD,,Columbus,OH,43232,39.917348,-82.8598973,260-000463,510,SINGLE_FAMILY,auditor_parcel,Y,1969,3,1,179100.00,2676.24,276000,05/06/2025,Y,Exact
"2921 SILVERTON CT, Columbus, OH, 43232",2921,SILVERTON CT,,Columbus,OH,43232,39.9171688,-82.8610372,260-000492,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,174900.00,3097.76,109900,05/03/2007,Y,Exact
"3609 CLEARWATER DR, Columbus, OH, 43232",3609,CLEARWATER DR,,Columbus,OH,43232,39.9037475,-82.8607501,180-002695,510,SINGLE_FAMILY,auditor_parcel,,1963,3,1,160000.00,2699.32,138500,05/18/2021,Y,Exact
"3351 BEACHWORTH DR, Columbus, OH, 43232",3351,BEACHWORTH DR,,Columbus,OH,43232,39.9069195,-82.8793026,180-004904,510,SINGLE_FAMILY,auditor_parcel,,1969,3,1,190600.00,3216.06,0,03/04/2024,Y,Exact
