address,number,street,unit,city,state,zip,latitude,longitude,final_classification,existence_source,residential_source,census_matched_address
"5115 BOTSFORD DR, Columbus, OH, 43232",5115,BOTSFORD DR,,Columbus,OH,43232,39.9293345,-82.8561618,RESIDENTIAL,census_geocoder,auditor_street (75/75 dwelling),Exact
"5644 SARANAC DR, Columbus, OH, 43232",5644,SARANAC DR,,Columbus,OH,43232,39.9415914,-82.8433998,RESIDENTIAL,census_geocoder,auditor_street (23/31 dwelling),Exact
"1872 MISTY WAY, Columbus, OH, 43232",1872,MISTY WAY,,Columbus,OH,43232,39.9431526,-82.8380364,RESIDENTIAL,census_geocoder,auditor_street (47/47 dwelling),Exact
"5941 MORRISSEY ST, Columbus, OH, 43232",5941,MORRISSEY ST,,Columbus,OH,43232,39.9134499,-82.8369473,RESIDENTIAL,census_geocoder,auditor_street (22/22 dwelling),Exact
"6010 ABERNATHY LN, Columbus, OH, 43232",6010,ABERNATHY LN,,Columbus,OH,43232,39.9146002,-82.8350064,RESIDENTIAL,census_geocoder,auditor_street (18/18 dwelling),Exact
"1877 FOUNTAINVIEW CT H, Columbus, OH, 43232",1877,FOUNTAINVIEW CT,H,Columbus,OH,43232,39.9410621,-82.8351386,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"3235 PAYDAY LN CATV, Columbus, OH, 43232",3235,PAYDAY LN,CATV,Columbus,OH,43232,39.9118442,-82.8453969,RESIDENTIAL,census_geocoder,auditor_street (37/37 dwelling),Non_Exact
"1764 SUNAPPLE WAY, Columbus, OH, 43232",1764,SUNAPPLE WAY,,Columbus,OH,43232,39.9445071,-82.8433144,RESIDENTIAL,census_geocoder,auditor_street (52/52 dwelling),Exact
"1930 FOUNTAINVIEW CT, Columbus, OH, 43232",1930,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9402295,-82.8340137,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"1811 BAIRSFORD DR 1E, Columbus, OH, 43232",1811,BAIRSFORD DR,1E,Columbus,OH,43232,39.9410628,-82.8453189,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"3675 MATHENA WAY, Columbus, OH, 43232",3675,MATHENA WAY,,Columbus,OH,43232,39.9121891,-82.9000648,RESIDENTIAL,census_geocoder,auditor_street (15/15 dwelling),Exact
"3730 WESTPOINT DR UNIT 4, Columbus, OH, 43232",3730,WESTPOINT DR,UNIT 4,Columbus,OH,43232,39.918766,-82.8959342,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"1813 BAIRSFORD DR 2G, Columbus, OH, 43232",1813,BAIRSFORD DR,2G,Columbus,OH,43232,39.940947,-82.8455088,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"1871 BAIRSFORD DR, Columbus, OH, 43232",1871,BAIRSFORD DR,,Columbus,OH,43232,39.9398393,-82.8464463,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"1810 NOE-BIXBY RD UNIT C, Columbus, OH, 43232",1810,NOE-BIXBY RD,UNIT C,Columbus,OH,43232,39.9395772,-82.860325,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Non_Exact
"5553 CHATFORD DR A, Columbus, OH, 43232",5553,CHATFORD DR,A,Columbus,OH,43232,39.9342873,-82.8448387,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"1948 FOUNTAINVIEW CT B, Columbus, OH, 43232",1948,FOUNTAINVIEW CT,B,Columbus,OH,43232,39.9395644,-82.8338895,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"2023 BAIRSFORD DR 2J, Columbus, OH, 43232",2023,BAIRSFORD DR,2J,Columbus,OH,43232,39.9365689,-82.8466752,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"1930 NOE-BIXBY RD, Columbus, OH, 43232",1930,NOE-BIXBY RD,,Columbus,OH,43232,39.9369302,-82.8618591,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"2620 COURTRIGHT RD, Columbus, OH, 43232",2620,COURTRIGHT RD,,Columbus,OH,43232,39.9198502,-82.896262,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"2460 NOE-BIXBY RD, Columbus, OH, 43232",2460,NOE-BIXBY RD,,Columbus,OH,43232,39.9262428,-82.8643214,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"1699 LONSDALE RD UNIT D, Columbus, OH, 43232",1699,LONSDALE RD,UNIT D,Columbus,OH,43232,39.9427759,-82.8503792,RESIDENTIAL,census_geocoder,auditor_street (54/64 dwelling),Non_Exact
"4939 CARBONDALE PL, Columbus, OH, 43232",4939,CARBONDALE PL,,Columbus,OH,43232,39.9245229,-82.859528,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Non_Exact
"1940 FOUNTAINVIEW CT, Columbus, OH, 43232",1940,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9402216,-82.8338817,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"1850 NOE-BIXBY RD, Columbus, OH, 43232",1850,NOE-BIXBY RD,,Columbus,OH,43232,39.9387739,-82.8612864,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"778 LITTLE BROOK WAY, Columbus, OH, 43232",778,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"1265 IDLEWILD DR, Columbus, OH, 43232",1265,IDLEWILD DR,,Columbus,OH,43232,39.9515996,-82.8322242,RESIDENTIAL,census_geocoder,auditor_street (67/90 dwelling),Exact
"5834 CHATFORD DR I, Columbus, OH, 43232",5834,CHATFORD DR,I,Columbus,OH,43232,39.9341531,-82.8370645,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"1985 BAIRSFORD DR, Columbus, OH, 43232",1985,BAIRSFORD DR,,Columbus,OH,43232,39.9374745,-82.8467863,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"5144 BOTSFORD DR, Columbus, OH, 43232",5144,BOTSFORD DR,,Columbus,OH,43232,39.9292877,-82.8550396,RESIDENTIAL,census_geocoder,auditor_street (75/75 dwelling),Exact
"708 LITTLE BROOK WAY, Columbus, OH, 43232",708,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"1813 BAIRSFORD DR 1A, Columbus, OH, 43232",1813,BAIRSFORD DR,1A,Columbus,OH,43232,39.9407469,-82.8454795,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"1986 FOUNTAINVIEW CT F, Columbus, OH, 43232",1986,FOUNTAINVIEW CT,F,Columbus,OH,43232,39.9392194,-82.8349571,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"5892 CHATFORD DR C, Columbus, OH, 43232",5892,CHATFORD DR,C,Columbus,OH,43232,39.9341606,-82.8350387,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"5852 CHATFORD DR A, Columbus, OH, 43232",5852,CHATFORD DR,A,Columbus,OH,43232,39.9342306,-82.8366076,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"5736 SARANAC DR, Columbus, OH, 43232",5736,SARANAC DR,,Columbus,OH,43232,39.9415691,-82.8416558,RESIDENTIAL,census_geocoder,auditor_street (23/31 dwelling),Exact
"1813 BAIRSFORD DR 1M, Columbus, OH, 43232",1813,BAIRSFORD DR,1M,Columbus,OH,43232,39.9410313,-82.8458242,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"2019 BAIRSFORD DR, Columbus, OH, 43232",2019,BAIRSFORD DR,,Columbus,OH,43232,39.9370624,-82.846819,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"2487 COURTRIGHT RD, Columbus, OH, 43232",2487,COURTRIGHT RD,,Columbus,OH,43232,39.9217656,-82.8978204,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"3270 PAYDAY LN, Columbus, OH, 43232",3270,PAYDAY LN,,Columbus,OH,43232,39.911035,-82.8447161,RESIDENTIAL,census_geocoder,auditor_street (37/37 dwelling),Exact
"1949 FOUNTAINVIEW CT, Columbus, OH, 43232",1949,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9400278,-82.8354178,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"1948 FOUNTAINVIEW CT A, Columbus, OH, 43232",1948,FOUNTAINVIEW CT,A,Columbus,OH,43232,39.9395702,-82.8339916,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"1877 FOUNTAINVIEW CT F, Columbus, OH, 43232",1877,FOUNTAINVIEW CT,F,Columbus,OH,43232,39.9410428,-82.8352384,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"1963 BAIRSFORD DR, Columbus, OH, 43232",1963,BAIRSFORD DR,,Columbus,OH,43232,39.9379628,-82.8471199,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"1928 FOUNTAINVIEW CT, Columbus, OH, 43232",1928,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9402294,-82.8340529,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"1766 BAIRSFORD DR, Columbus, OH, 43232",1766,BAIRSFORD DR,,Columbus,OH,43232,39.9423048,-82.8435425,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"1989 FOUNTAINVIEW CT, Columbus, OH, 43232",1989,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9393215,-82.835689,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"3276 PETZINGER RD, Columbus, OH, 43232",3276,PETZINGER RD,,Columbus,OH,43232,39.9293324,-82.9058188,RESIDENTIAL,census_geocoder,auditor_street (122/146 dwelling),Exact
"5874 CHATFORD DR, Columbus, OH, 43232",5874,CHATFORD DR,,Columbus,OH,43232,39.9339542,-82.8358592,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Exact
"5549 CHATFORD DR, Columbus, OH, 43232",5549,CHATFORD DR,,Columbus,OH,43232,39.9347088,-82.8449818,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Exact
"1898 FOUNTAINVIEW CT, Columbus, OH, 43232",1898,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9406271,-82.8341475,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"5732 SARANAC DR, Columbus, OH, 43232",5732,SARANAC DR,,Columbus,OH,43232,39.941514,-82.8417268,RESIDENTIAL,census_geocoder,auditor_street (23/31 dwelling),Exact
"4008 VERONIA LN, Columbus, OH, 43232",4008,VERONIA LN,,Columbus,OH,43232,39.9173778,-82.8881396,RESIDENTIAL,census_geocoder,auditor_street (3/4 dwelling),Non_Exact
"782 LITTLE BROOK WAY, Columbus, OH, 43232",782,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"5914 CHATFORD DR, Columbus, OH, 43232",5914,CHATFORD DR,,Columbus,OH,43232,39.9339542,-82.8358592,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Exact
"786 LITTLE BROOK WAY, Columbus, OH, 43232",786,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"844 LITTLE BROOK WAY, Columbus, OH, 43232",844,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"1979 BAIRSFORD DR, Columbus, OH, 43232",1979,BAIRSFORD DR,,Columbus,OH,43232,39.9376369,-82.8468066,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"5834 CHATFORD DR G, Columbus, OH, 43232",5834,CHATFORD DR,G,Columbus,OH,43232,39.9342521,-82.8371139,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"3750 WESTPOINT DR UNIT 1, Columbus, OH, 43232",3750,WESTPOINT DR,UNIT 1,Columbus,OH,43232,39.9188135,-82.8955521,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"1929 FOUNTAINVIEW CT, Columbus, OH, 43232",1929,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9401719,-82.8349585,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"5553 CHATFORD DR G, Columbus, OH, 43232",5553,CHATFORD DR,G,Columbus,OH,43232,39.9345677,-82.8448043,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"1790 BAIRSFORD DR, Columbus, OH, 43232",1790,BAIRSFORD DR,,Columbus,OH,43232,39.9416458,-82.8436034,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"5065 BOTSFORD DR, Columbus, OH, 43232",5065,BOTSFORD DR,,Columbus,OH,43232,39.929827,-82.8573327,RESIDENTIAL,census_geocoder,auditor_street (75/75 dwelling),Exact
"5916 CHATFORD DR B, Columbus, OH, 43232",5916,CHATFORD DR,B,Columbus,OH,43232,39.9338139,-82.8344074,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"5883 LITTLE BROOK WAY, Columbus, OH, 43232",5883,LITTLE BROOK WAY,,Columbus,OH,43232,39.9452345,-82.842323,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Exact
"2134 COURTRIGHT RD, Columbus, OH, 43232",2134,COURTRIGHT RD,,Columbus,OH,43232,39.9288552,-82.8976732,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"2175 S JAMES RD, Columbus, OH, 43232",2175,S JAMES RD,,Columbus,OH,43232,39.9267971,-82.9184814,RESIDENTIAL,census_geocoder,auditor_street (351/451 dwelling),Exact
"2143 COURTRIGHT RD, Columbus, OH, 43232",2143,COURTRIGHT RD,,Columbus,OH,43232,39.9284245,-82.8988354,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"3730 WESTPOINT DR UNIT 1, Columbus, OH, 43232",3730,WESTPOINT DR,UNIT 1,Columbus,OH,43232,39.9187463,-82.8960409,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"2023 BAIRSFORD DR 2E, Columbus, OH, 43232",2023,BAIRSFORD DR,2E,Columbus,OH,43232,39.9365264,-82.8468682,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"2328 COURTRIGHT RD, Columbus, OH, 43232",2328,COURTRIGHT RD,,Columbus,OH,43232,39.9236056,-82.8938446,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"5968 ABERNATHY LN, Columbus, OH, 43232",5968,ABERNATHY LN,,Columbus,OH,43232,39.9147118,-82.836301,RESIDENTIAL,census_geocoder,auditor_street (18/18 dwelling),Exact
"5551 CHATFORD DR C, Columbus, OH, 43232",5551,CHATFORD DR,C,Columbus,OH,43232,39.9345631,-82.8454445,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"3744 WESTPOINT DR UNIT 3, Columbus, OH, 43232",3744,WESTPOINT DR,UNIT 3,Columbus,OH,43232,39.918778,-82.8957144,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"1861 MISTY WAY, Columbus, OH, 43232",1861,MISTY WAY,,Columbus,OH,43232,39.9429024,-82.8381565,RESIDENTIAL,census_geocoder,auditor_street (47/47 dwelling),Exact
"1948 FOUNTAINVIEW CT F, Columbus, OH, 43232",1948,FOUNTAINVIEW CT,F,Columbus,OH,43232,39.939581,-82.8337985,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"740 LITTLE BROOK WAY, Columbus, OH, 43232",740,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"2510 COURTRIGHT RD, Columbus, OH, 43232",2510,COURTRIGHT RD,,Columbus,OH,43232,39.9218051,-82.896816,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"5822 CHATFORD DR, Columbus, OH, 43232",5822,CHATFORD DR,,Columbus,OH,43232,39.9341555,-82.8374685,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Exact
"3372 YOZURI DR, Columbus, OH, 43232",3372,YOZURI DR,,Columbus,OH,43232,39.9094317,-82.8427912,RESIDENTIAL,census_geocoder,auditor_street (39/40 dwelling),Exact
"5804 CHATFORD DR E, Columbus, OH, 43232",5804,CHATFORD DR,E,Columbus,OH,43232,39.9339222,-82.8378985,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"5896 LITTLE BROOK WAY, Columbus, OH, 43232",5896,LITTLE BROOK WAY,,Columbus,OH,43232,39.9454541,-82.8417388,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Exact
"2001 FOUNTAINVIEW CT, Columbus, OH, 43232",2001,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9392147,-82.8356029,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"1840 NOE-BIXBY RD, Columbus, OH, 43232",1840,NOE-BIXBY RD,,Columbus,OH,43232,39.9391107,-82.8609241,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"5864 CHATFORD DR H, Columbus, OH, 43232",5864,CHATFORD DR,H,Columbus,OH,43232,39.9341882,-82.8360913,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"1751 LONSDALE RD D, Columbus, OH, 43232",1751,LONSDALE RD,D,Columbus,OH,43232,39.9417149,-82.8508247,RESIDENTIAL,census_geocoder,auditor_street (54/64 dwelling),Non_Exact
"3440 WESTPOINT DR, Columbus, OH, 43232",3440,WESTPOINT DR,,Columbus,OH,43232,39.9190457,-82.9047887,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"1881 FOUNTAINVIEW CT C, Columbus, OH, 43232",1881,FOUNTAINVIEW CT,C,Columbus,OH,43232,39.9407286,-82.8350803,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"2513 COURTRIGHT RD, Columbus, OH, 43232",2513,COURTRIGHT RD,,Columbus,OH,43232,39.9213535,-82.897967,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"1578 LONSDALE RD, Columbus, OH, 43232",1578,LONSDALE RD,,Columbus,OH,43232,39.9455512,-82.849271,RESIDENTIAL,census_geocoder,auditor_street (54/64 dwelling),Exact
"1997 BAIRSFORD DR, Columbus, OH, 43232",1997,BAIRSFORD DR,,Columbus,OH,43232,39.9372358,-82.8470643,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"1877 FOUNTAINVIEW CT I, Columbus, OH, 43232",1877,FOUNTAINVIEW CT,I,Columbus,OH,43232,39.9410675,-82.8352302,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Non_Exact
"3441 WESTPOINT DR, Columbus, OH, 43232",3441,WESTPOINT DR,,Columbus,OH,43232,39.9187392,-82.9048117,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"5880 CHATFORD DR I, Columbus, OH, 43232",5880,CHATFORD DR,I,Columbus,OH,43232,39.9341063,-82.8355495,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Non_Exact
"1786 BAIRSFORD DR, Columbus, OH, 43232",1786,BAIRSFORD DR,,Columbus,OH,43232,39.9417253,-82.8436252,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"710 LITTLE BROOK WAY, Columbus, OH, 43232",710,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"3774 WESTPOINT DR UNIT 1, Columbus, OH, 43232",3774,WESTPOINT DR,UNIT 1,Columbus,OH,43232,39.9191542,-82.8948492,RESIDENTIAL,census_geocoder,auditor_street (15/16 dwelling),Exact
"5856 CHATFORD DR, Columbus, OH, 43232",5856,CHATFORD DR,,Columbus,OH,43232,39.9339542,-82.8358592,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Exact
"770 LITTLE BROOK WAY, Columbus, OH, 43232",770,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"1743 SUNAPPLE WAY, Columbus, OH, 43232",1743,SUNAPPLE WAY,,Columbus,OH,43232,39.9450337,-82.8434632,RESIDENTIAL,census_geocoder,auditor_street (52/52 dwelling),Exact
"1811 BAIRSFORD DR 1C, Columbus, OH, 43232",1811,BAIRSFORD DR,1C,Columbus,OH,43232,39.9410011,-82.8452505,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"1895 FOUNTAINVIEW CT, Columbus, OH, 43232",1895,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9403447,-82.8350164,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"5883 MORRISSEY ST, Columbus, OH, 43232",5883,MORRISSEY ST,,Columbus,OH,43232,39.91375,-82.8385352,RESIDENTIAL,census_geocoder,auditor_street (22/22 dwelling),Exact
"3021 BRIAR RIDGE RD, Columbus, OH, 43232",3021,BRIAR RIDGE RD,,Columbus,OH,43232,39.9117623,-82.9012495,RESIDENTIAL,census_geocoder,auditor_street (41/41 dwelling),Exact
"1894 NOE-BIXBY RD, Columbus, OH, 43232",1894,NOE-BIXBY RD,,Columbus,OH,43232,39.9377772,-82.8618286,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"1892 NOE-BIXBY RD, Columbus, OH, 43232",1892,NOE-BIXBY RD,,Columbus,OH,43232,39.9378147,-82.8618251,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"1985 FOUNTAINVIEW CT, Columbus, OH, 43232",1985,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9393873,-82.8357357,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"1860 NOE-BIXBY RD, Columbus, OH, 43232",1860,NOE-BIXBY RD,,Columbus,OH,43232,39.9386102,-82.8614637,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"1824 QUARRY RIDGE DR, Columbus, OH, 43232",1824,QUARRY RIDGE DR,,Columbus,OH,43232,39.9437966,-82.8406026,RESIDENTIAL,census_geocoder,auditor_street (6/6 dwelling),Exact
"1707 LONSDALE RD, Columbus, OH, 43232",1707,LONSDALE RD,,Columbus,OH,43232,39.9427394,-82.8504044,RESIDENTIAL,census_geocoder,auditor_street (54/64 dwelling),Exact
"5886 LITTLE BROOK WAY, Columbus, OH, 43232",5886,LITTLE BROOK WAY,,Columbus,OH,43232,39.9456338,-82.8420442,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Exact
"2023 BAIRSFORD DR 2B, Columbus, OH, 43232",2023,BAIRSFORD DR,2B,Columbus,OH,43232,39.9365078,-82.8470241,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Non_Exact
"714 LITTLE BROOK WAY, Columbus, OH, 43232",714,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"1937 BAIRSFORD DR, Columbus, OH, 43232",1937,BAIRSFORD DR,,Columbus,OH,43232,39.9384685,-82.8467541,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"5876 CHATFORD DR, Columbus, OH, 43232",5876,CHATFORD DR,,Columbus,OH,43232,39.9340478,-82.8357634,RESIDENTIAL,census_geocoder,auditor_street (14/20 dwelling),Exact
"2293 COURTRIGHT RD, Columbus, OH, 43232",2293,COURTRIGHT RD,,Columbus,OH,43232,39.9253091,-82.8990885,RESIDENTIAL,census_geocoder,auditor_street (96/137 dwelling),Exact
"1909 FOUNTAINVIEW CT, Columbus, OH, 43232",1909,FOUNTAINVIEW CT,,Columbus,OH,43232,39.940425,-82.8347635,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"2079 BAIRSFORD DR, Columbus, OH, 43232",2079,BAIRSFORD DR,,Columbus,OH,43232,39.9354711,-82.8460193,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"1842 NOE-BIXBY RD, Columbus, OH, 43232",1842,NOE-BIXBY RD,,Columbus,OH,43232,39.9390552,-82.8609829,RESIDENTIAL,census_geocoder,auditor_street (242/328 dwelling),Exact
"5738 SARANAC DR, Columbus, OH, 43232",5738,SARANAC DR,,Columbus,OH,43232,39.9415692,-82.8416058,RESIDENTIAL,census_geocoder,auditor_street (23/31 dwelling),Exact
"858 LITTLE BROOK WAY, Columbus, OH, 43232",858,LITTLE BROOK WAY,,Columbus,OH,43232,39.9445072,-82.8413743,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Non_Exact
"1778 BAIRSFORD DR, Columbus, OH, 43232",1778,BAIRSFORD DR,,Columbus,OH,43232,39.941923,-82.8436048,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"2758 NATALIA DR, Columbus, OH, 43232",2758,NATALIA DR,,Columbus,OH,43232,39.9169597,-82.8882137,RESIDENTIAL,census_geocoder,auditor_street (20/20 dwelling),Exact
"1981 BAIRSFORD DR, Columbus, OH, 43232",1981,BAIRSFORD DR,,Columbus,OH,43232,39.9375601,-82.8468023,RESIDENTIAL,census_geocoder,auditor_street (23/27 dwelling),Exact
"6024 ABERNATHY LN, Columbus, OH, 43232",6024,ABERNATHY LN,,Columbus,OH,43232,39.9144217,-82.8350198,RESIDENTIAL,census_geocoder,auditor_street (18/18 dwelling),Exact
"5867 MORRISSEY ST, Columbus, OH, 43232",5867,MORRISSEY ST,,Columbus,OH,43232,39.913771,-82.8388918,RESIDENTIAL,census_geocoder,auditor_street (22/22 dwelling),Exact
"5882 LITTLE BROOK WAY, Columbus, OH, 43232",5882,LITTLE BROOK WAY,,Columbus,OH,43232,39.945688,-82.8422584,RESIDENTIAL,census_geocoder,auditor_street (30/31 dwelling),Exact
"1997 FOUNTAINVIEW CT, Columbus, OH, 43232",1997,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9391705,-82.8357061,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"2155 S JAMES RD, Columbus, OH, 43232",2155,S JAMES RD,,Columbus,OH,43232,39.9271151,-82.917736,RESIDENTIAL,census_geocoder,auditor_street (351/451 dwelling),Exact
"1847 MISTY WAY, Columbus, OH, 43232",1847,MISTY WAY,,Columbus,OH,43232,39.9429723,-82.8387653,RESIDENTIAL,census_geocoder,auditor_street (47/47 dwelling),Exact
"3562 DELPORT WAY, Columbus, OH, 43232",3562,DELPORT WAY,,Columbus,OH,43232,39.9092518,-82.9000408,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
"1993 FOUNTAINVIEW CT, Columbus, OH, 43232",1993,FOUNTAINVIEW CT,,Columbus,OH,43232,39.9392883,-82.8357994,RESIDENTIAL,census_geocoder,auditor_street (11/12 dwelling),Exact
"2955 THORNELL WAY, Columbus, OH, 43232",2955,THORNELL WAY,,Columbus,OH,43232,39.9185317,-82.8472643,RESIDENTIAL,census_geocoder,auditor_street (10/10 dwelling),Exact
