number,street,city,state,postcode,latitude,longitude
1867,Oak St,Youngstown,OH,44503,41.141134,-80.694269
7679,Oak St,Youngstown,OH,44507,41.107447,-80.630872
7695,Oak St,Youngstown,OH,44503,41.135463,-80.631923
7513,Oak St,Youngstown,OH,44503,41.112669,-80.642064
6604,Federal St,Youngstown,OH,44503,41.085579,-80.622244
6512,Market St,Youngstown,OH,44506,41.080971,-80.642986
7000,Elm St,Youngstown,OH,44506,41.086859,-80.621966
8577,Federal St,Youngstown,OH,44506,41.085603,-80.667197
4771,Market St,Youngstown,OH,44506,41.13566,-80.616299
3252,Market St,Youngstown,OH,44506,41.087386,-80.632969
9033,Oak St,Youngstown,OH,44506,41.108897,-80.649157
5011,Market St,Youngstown,OH,44506,41.101753,-80.637682
5685,Boardman St,Youngstown,OH,44503,41.112406,-80.676591
7073,Elm St,Youngstown,OH,44506,41.148462,-80.611844
368,Federal St,Youngstown,OH,44505,41.119556,-80.661187
4162,Oak St,Youngstown,OH,44503,41.079668,-80.61595
8360,Elm St,Youngstown,OH,44507,41.137401,-80.684309
8939,Elm St,Youngstown,OH,44505,41.067397,-80.646528
9027,Boardman St,Youngstown,OH,44507,41.116749,-80.663162
6184,Elm St,Youngstown,OH,44503,41.120339,-80.661743
9627,Oak St,Youngstown,OH,44504,41.082706,-80.662637
8959,Federal St,Youngstown,OH,44507,41.105813,-80.690016
3285,Federal St,Youngstown,OH,44506,41.119807,-80.646334
5377,Federal St,Youngstown,OH,44506,41.120515,-80.691173
5136,Federal St,Youngstown,OH,44506,41.114984,-80.663002
702,Oak St,Youngstown,OH,44506,41.050938,-80.612901
3520,Federal St,Youngstown,OH,44507,41.095589,-80.669707
2978,Tuscarawas St,Canton,OH,44702,40.79788,-81.390616
7321,Tuscarawas St,Canton,OH,44702,40.76614,-81.418152
7602,Tuscarawas St,Canton,OH,44702,40.807728,-81.407121
3510,Cleveland Ave,Canton,OH,44703,40.840299,-81.388284
755,Market Ave,Canton,OH,44703,40.835046,-81.401611
1701,Market Ave,Canton,OH,44702,40.78982,-81.411554
2233,Cleveland Ave,Canton,OH,44705,40.797238,-81.374072
9857,Cleveland Ave,Canton,OH,44705,40.749596,-81.353995
7503,Cleveland Ave,Canton,OH,44705,40.78422,-81.423185
2484,Cherry Ave,Canton,OH,44707,40.785902,-81.383426
2320,Cherry Ave,Canton,OH,44706,40.842263,-81.40327
2337,Tuscarawas St,Canton,OH,44703,40.769932,-81.336566
2464,Tuscarawas St,Canton,OH,44703,40.841182,-81.408087
7369,Tuscarawas St,Canton,OH,44706,40.816208,-81.376153
6910,Tuscarawas St,Canton,OH,44703,40.834792,-81.331432
1674,Tuscarawas St,Canton,OH,44707,40.781398,-81.419277
8155,Tuscarawas St,Canton,OH,44702,40.769412,-81.343943
7001,Tuscarawas St,Canton,OH,44706,40.827516,-81.40616
7037,Cleveland Ave,Canton,OH,44702,40.845443,-81.382995
3985,Cherry Ave,Canton,OH,44703,40.792057,-81.387316
9495,Tuscarawas St,Canton,OH,44706,40.824148,-81.422637
9075,Tuscarawas St,Canton,OH,44706,40.780129,-81.388932
5594,Market Ave,Canton,OH,44703,40.829034,-81.379185
466,Cleveland Ave,Canton,OH,44703,40.809759,-81.407856
4725,Market Ave,Canton,OH,44707,40.816941,-81.346957
9631,Cleveland Ave,Canton,OH,44702,40.812277,-81.346197
4268,Tuscarawas St,Canton,OH,44702,40.754526,-81.380202
5877,Cleveland Ave,Canton,OH,44702,40.774513,-81.35465
1160,Tuscarawas St,Canton,OH,44703,40.834477,-81.36452
1295,Cleveland Ave,Canton,OH,44706,40.819732,-81.415357
5371,Tuscarawas St,Canton,OH,44702,40.749473,-81.373285
604,Cherry Ave,Canton,OH,44703,40.772078,-81.413265
1239,Tuscarawas St,Canton,OH,44702,40.821852,-81.400132
1719,Market Ave,Canton,OH,44705,40.777866,-81.352414
2404,Tuscarawas St,Canton,OH,44703,40.775005,-81.363218
4195,Market Ave,Canton,OH,44705,40.779297,-81.40903
4510,Cleveland Ave,Canton,OH,44705,40.834663,-81.363791
3809,Cherry Ave,Canton,OH,44702,40.795748,-81.38034
4512,Market Ave,Canton,OH,44707,40.798839,-81.394737
7608,Market Ave,Canton,OH,44702,40.844909,-81.389465
5644,Cherry Ave,Canton,OH,44706,40.826166,-81.345205
8101,Market Ave,Canton,OH,44705,40.752504,-81.367649
3847,Cleveland Ave,Canton,OH,44707,40.758104,-81.364823
1094,Cherry Ave,Canton,OH,44707,40.832392,-81.354157
6642,Cleveland Ave,Canton,OH,44706,40.837234,-81.401008
5358,Market Ave,Canton,OH,44706,40.802539,-81.344775
9308,Tuscarawas St,Canton,OH,44706,40.815069,-81.349303
3379,Market Ave,Canton,OH,44706,40.816366,-81.331321
6264,Cherry Ave,Canton,OH,44706,40.786855,-81.403965
5702,Cleveland Ave,Canton,OH,44705,40.788599,-81.33067
217,Market Ave,Canton,OH,44703,40.757142,-81.369701
5212,Tuscarawas St,Canton,OH,44706,40.791945,-81.390558
5924,Tuscarawas St,Canton,OH,44705,40.758693,-81.363448
3770,Tuscarawas St,Canton,OH,44703,40.771963,-81.401496
8850,Market Ave,Canton,OH,44706,40.778974,-81.367699
3242,Cleveland Ave,Canton,OH,44706,40.814629,-81.395753
1853,Cherry Ave,Canton,OH,44706,40.78651,-81.418107
2395,Cleveland Ave,Canton,OH,44706,40.76042,-81.410708
9191,Tuscarawas St,Canton,OH,44706,40.754403,-81.41698
6242,Tuscarawas St,Canton,OH,44705,40.759154,-81.388806
3230,Market Ave,Canton,OH,44702,40.760425,-81.405945
7936,Cleveland Ave,Canton,OH,44702,40.759255,-81.385875
1211,Cleveland Ave,Canton,OH,44702,40.822498,-81.409168
5888,Cleveland Ave,Canton,OH,44702,40.776759,-81.4267
9188,Tuscarawas St,Canton,OH,44705,40.823969,-81.348523
2953,Market Ave,Canton,OH,44705,40.784272,-81.393909
9802,Cherry Ave,Canton,OH,44702,40.848182,-81.397859
3003,Market Ave,Canton,OH,44702,40.783231,-81.378917
6038,Cherry Ave,Canton,OH,44703,40.839894,-81.389802
9945,Market Ave,Canton,OH,44703,40.843496,-81.379349
8189,Tuscarawas St,Canton,OH,44707,40.841857,-81.426875
555,Tuscarawas St,Canton,OH,44702,40.766743,-81.412353
8640,Cleveland Ave,Canton,OH,44705,40.845628,-81.365776
838,Tuscarawas St,Canton,OH,44707,40.79858,-81.380958
1742,Market Ave,Canton,OH,44706,40.839368,-81.395609
3990,Market Ave,Canton,OH,44703,40.847488,-81.364391
2031,Market Ave,Canton,OH,44703,40.817542,-81.37786
8833,Cherry Ave,Canton,OH,44707,40.792249,-81.401758
6593,Market Ave,Canton,OH,44707,40.848243,-81.338142
5768,Tuscarawas St,Canton,OH,44705,40.821097,-81.370319
8293,Cleveland Ave,Canton,OH,44703,40.772464,-81.363667
9920,Tuscarawas St,Canton,OH,44702,40.795475,-81.408107
1059,Market Ave,Canton,OH,44703,40.782134,-81.424159
7505,Tuscarawas St,Canton,OH,44702,40.761889,-81.392148
6904,Market Ave,Canton,OH,44706,40.805697,-81.388979
4899,Cherry Ave,Canton,OH,44706,40.847661,-81.406046
8685,Cleveland Ave,Canton,OH,44706,40.786747,-81.396104
